VERSE,SCRIPTURE
Verse 3,"When I consider your heavens, the work of your fingers, the moon and the stars, which you have set in place,  "
Verse 4,"what is mankind that you are mindful of them, human beings that you care for them?#: Or what is a human being that you are mindful of him, / a son of man that you care for him?  "
Verse 5,You have made them#: Or him a little lower than the angels#: Or than God and crowned them#: Or him with glory and honor.  
Verse 6,You made them rulers over the works of your hands; you put everything under their#: Or made him ruler…; / …his feet:  
Verse 7,"all flocks and herds, and the animals of the wild,  "
Verse 8,"the birds in the sky, and the fish in the sea, all that swim the paths of the seas.  "
Verse 9," Lord, our Lord, how majestic is your name in all the earth!"
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 1,"I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds.  "
Verse 2,"I will be glad and rejoice in you; I will sing the praises of your name, O Most High.  "
Verse 3,My enemies turn back; they stumble and perish before you.  
Verse 4,"For you have upheld my right and my cause, sitting enthroned as the righteous judge.  "
Verse 5,You have rebuked the nations and destroyed the wicked; you have blotted out their name for ever and ever.  
Verse 6,"Endless ruin has overtaken my enemies, you have uprooted their cities; even the memory of them has perished.  "
Verse 7,The Lord reigns forever; he has established his throne for judgment.  
Verse 8,He rules the world in righteousness and judges the peoples with equity.  
Verse 9,"The Lord is a refuge for the oppressed, a stronghold in times of trouble.  "
Verse 10,"Those who know your name trust in you, for you, Lord, have never forsaken those who seek you.  "
Verse 11,"Sing the praises of the Lord, enthroned in Zion; proclaim among the nations what he has done.  "
Verse 12,For he who avenges blood remembers; he does not ignore the cries of the afflicted.  
Verse 13," Lord, see how my enemies persecute me! Have mercy and lift me up from the gates of death,  "
Verse 14,"that I may declare your praises in the gates of Daughter Zion, and there rejoice in your salvation.  "
Verse 15,The nations have fallen into the pit they have dug; their feet are caught in the net they have hidden.  
Verse 16,The Lord is known by his acts of justice; the wicked are ensnared by the work of their hands.#: The Hebrew has Higgaion and Selah (words of uncertain meaning) here; Selah occurs also at the end of verse .  
Verse 17,"The wicked go down to the realm of the dead, all the nations that forget God.  "
Verse 18,But God will never forget the needy; the hope of the afflicted will never perish.  
Verse 19,"Arise, Lord, do not let mortals triumph; let the nations be judged in your presence.  "
Verse 20,"Strike them with terror, Lord; let the nations know they are only mortal."
Verse 21,
Verse 22,
Verse 23,
Verse 1,"Why, Lord, do you stand far off? Why do you hide yourself in times of trouble?  "
Verse 2,"In his arrogance the wicked man hunts down the weak, who are caught in the schemes he devises.  "
Verse 3,He boasts about the cravings of his heart; he blesses the greedy and reviles the Lord.  
Verse 4,In his pride the wicked man does not seek him; in all his thoughts there is no room for God.  
Verse 5,"His ways are always prosperous; your laws are rejected by#: See Septuagint; Hebrew / they are haughty, and your laws are far from him; he sneers at all his enemies.  "
Verse 6,"He says to himself, “Nothing will ever shake me.” He swears, “No one will ever do me harm.”  "
Verse 7,His mouth is full of lies and threats; trouble and evil are under his tongue.  
Verse 8,He lies in wait near the villages; from ambush he murders the innocent. His eyes watch in secret for his victims;  
Verse 9,like a lion in cover he lies in wait. He lies in wait to catch the helpless; he catches the helpless and drags them off in his net.  
Verse 10,"His victims are crushed, they collapse; they fall under his strength.  "
Verse 11,"He says to himself, “God will never notice; he covers his face and never sees.”  "
Verse 12,"Arise, Lord! Lift up your hand, O God. Do not forget the helpless.  "
Verse 13,"Why does the wicked man revile God? Why does he say to himself, “He won’t call me to account”?  "
Verse 14,"But you, God, see the trouble of the afflicted; you consider their grief and take it in hand. The victims commit themselves to you; you are the helper of the fatherless.  "
Verse 15,Break the arm of the wicked man; call the evildoer to account for his wickedness that would not otherwise be found out.  
Verse 16,The Lord is King for ever and ever; the nations will perish from his land.  
Verse 17,"You, Lord, hear the desire of the afflicted; you encourage them, and you listen to their cry,  "
Verse 18,"defending the fatherless and the oppressed, so that mere earthly mortals will never again strike terror."
Verse 19,
Verse 20,
Verse 1,In the Lord I take refuge. How then can you say to me: “Flee like a bird to your mountain.  
Verse 2,"For look, the wicked bend their bows; they set their arrows against the strings to shoot from the shadows at the upright in heart.  "
Verse 3,"When the foundations are being destroyed, what can the righteous do?”  "
Verse 4,The Lord is in his holy temple; the Lord is on his heavenly throne. He observes everyone on earth; his eyes examine them.  
Verse 5,"The Lord examines the righteous, but the wicked, those who love violence, he hates with a passion.  "
Verse 6,On the wicked he will rain fiery coals and burning sulfur; a scorching wind will be their lot.  
Verse 7,"For the Lord is righteous, he loves justice; the upright will see his face."
Verse 1,"Help, Lord, for no one is faithful anymore; those who are loyal have vanished from the human race.  "
Verse 2,Everyone lies to their neighbor; they flatter with their lips but harbor deception in their hearts.  
Verse 3,May the Lord silence all flattering lips and every boastful tongue—  
Verse 4,"those who say, “By our tongues we will prevail; our own lips will defend us—who is lord over us?”  "
Verse 5,"“Because the poor are plundered and the needy groan, I will now arise,” says the Lord. “I will protect them from those who malign them.”  "
Verse 6,"And the words of the Lord are flawless, like silver purified in a crucible, like gold#: Probable reading of the original Hebrew text; Masoretic Text earth refined seven times.  "
Verse 7,"You, Lord, will keep the needy safe and will protect us forever from the wicked,  "
Verse 8,who freely strut about when what is vile is honored by the human race.
Verse 9,
Verse 10,
Verse 11,
Verse 1,"How long, Lord? Will you forget me forever? How long will you hide your face from me?  "
Verse 2,How long must I wrestle with my thoughts and day after day have sorrow in my heart? How long will my enemy triumph over me?  
Verse 3,"Look on me and answer, Lord my God. Give light to my eyes, or I will sleep in death,  "
Verse 4,"and my enemy will say, “I have overcome him,” and my foes will rejoice when I fall.  "
Verse 5,But I trust in your unfailing love; my heart rejoices in your salvation.  
Verse 6,"I will sing the Lord’s praise, for he has been good to me."
Verse 7,
Verse 1,"The fool#: The Hebrew words rendered fool in Psalms denote one who is morally deficient. says in his heart, “There is no God.” They are corrupt, their deeds are vile; there is no one who does good.  "
